PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;3.7.7.2;Checks if AWS Private Certificate Authority (AWS Private CA) has a root CA that is disabled;3.7.7: Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are defined and implemented. ;;;acm;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;3.7.7.3;Checks if a REST API stage uses an SSL certificate;3.7.7: Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle are defined and implemented. ;;;apigateway;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;4.2.1.1.2;Checks if AWS Private Certificate Authority (AWS Private CA) has a root CA that is disabled;4.2.1.1: PAN is protected with strong cryptography during transmission. ;;;acm;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;4.2.1.1.4;Checks if a REST API stage uses an SSL certificate;4.2.1.1: PAN is protected with strong cryptography during transmission. ;;;apigateway;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;4.2.1.1.19;Checks if Amazon EMR clusters have Kerberos enabled;4.2.1.1: PAN is protected with strong cryptography during transmission. ;;;emr;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;4.2.1.14;Checks if Amazon EMR clusters have Kerberos enabled;4.2.1: PAN is protected with strong cryptography during transmission. ;;;emr;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;6.3.3.1;Checks if all of the specified applications are installed on the instance;6.3.3: Security vulnerabilities are identified and addressed. ;;;ec2;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;6.3.3.8;Checks if the AWS Lambda function settings for runtime, role, timeout, and memory size match the expected values;6.3.3: Security vulnerabilities are identified and addressed. ;;;awslambda;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;6.4.1.6;Checks if the rule groups associate with the web ACL at the correct priority;6.4.1: Public-facing web applications are protected against attacks. ;;;fms;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;6.4.2.6;Checks if the rule groups associate with the web ACL at the correct priority;6.4.2: Public-facing web applications are protected against attacks. ;;;fms;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;6.5.5.1;Checks if the deployment group for Lambda Compute Platform is not using the default deployment configuration;6.5.5: Changes to all system components are managed securely. ;;;codebuild;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;6.5.5.2;Checks if the first deployment stage of AWS CodePipeline performs more than one deployment;6.5.5: Changes to all system components are managed securely. ;;;codepipeline;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;6.5.6.1;Checks if the deployment group for Lambda Compute Platform is not using the default deployment configuration;6.5.6: Changes to all system components are managed securely. ;;;codebuild;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;6.5.6.2;Checks if the first deployment stage of AWS CodePipeline performs more than one deployment;6.5.6: Changes to all system components are managed securely. ;;;codepipeline;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.1.2;Checks if a backup vault has an attached resource-based policy which prevents deletion of recovery points;7.2.1: Access to system components and data is appropriately defined and assigned. ;;;backup;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.1.11;Checks if the inline policy feature is not in use;7.2.1: Access to system components and data is appropriately defined and assigned. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.1.18;Checks whether IAM users are members of at least one IAM group;7.2.1: Access to system components and data is appropriately defined and assigned. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.1.29;Checks if the Shield Response Team (SRT) can access your AWS account;7.2.1: Access to system components and data is appropriately defined and assigned. ;;;shield;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.2.2;Checks if a backup vault has an attached resource-based policy which prevents deletion of recovery points;7.2.2: Access to system components and data is appropriately defined and assigned. ;;;backup;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.2.11;Checks if the inline policy feature is not in use;7.2.2: Access to system components and data is appropriately defined and assigned. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.2.18;Checks whether IAM users are members of at least one IAM group;7.2.2: Access to system components and data is appropriately defined and assigned. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.2.29;Checks if the Shield Response Team (SRT) can access your AWS account;7.2.2: Access to system components and data is appropriately defined and assigned. ;;;shield;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.4.1;Checks whether IAM groups have at least one IAM user;7.2.4: Access to system components and data is appropriately defined and assigned. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.5.1.1;Checks whether IAM groups have at least one IAM user;7.2.5.1: Access to system components and data is appropriately defined and assigned. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.5.2;Checks if a backup vault has an attached resource-based policy which prevents deletion of recovery points;7.2.5: Access to system components and data is appropriately defined and assigned. ;;;backup;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.5.7;Checks if the inline policy feature is not in use;7.2.5: Access to system components and data is appropriately defined and assigned. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.5.22;Checks if the Shield Response Team (SRT) can access your AWS account;7.2.5: Access to system components and data is appropriately defined and assigned. ;;;shield;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.2.6.2;Checks whether IAM users are members of at least one IAM group;7.2.6: Access to system components and data is appropriately defined and assigned. ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.1.2;Checks if a backup vault has an attached resource-based policy which prevents deletion of recovery points;7.3.1: Access to system components and data is managed via an access control system(s). ;;;backup;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.1.7;Checks if the inline policy feature is not in use;7.3.1: Access to system components and data is managed via an access control system(s). ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.1.22;Checks if the Shield Response Team (SRT) can access your AWS account;7.3.1: Access to system components and data is managed via an access control system(s). ;;;shield;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.2.2;Checks if a backup vault has an attached resource-based policy which prevents deletion of recovery points;7.3.2: Access to system components and data is managed via an access control system(s). ;;;backup;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.2.7;Checks if the inline policy feature is not in use;7.3.2: Access to system components and data is managed via an access control system(s). ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.2.22;Checks if the Shield Response Team (SRT) can access your AWS account;7.3.2: Access to system components and data is managed via an access control system(s). ;;;shield;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.3.2;Checks if a backup vault has an attached resource-based policy which prevents deletion of recovery points;7.3.3: Access to system components and data is managed via an access control system(s). ;;;backup;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.3.7;Checks if the inline policy feature is not in use;7.3.3: Access to system components and data is managed via an access control system(s). ;;;iam;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;7.3.3.22;Checks if the Shield Response Team (SRT) can access your AWS account;7.3.3: Access to system components and data is managed via an access control system(s). ;;;shield;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
aws;The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard. It's administered by the PCI Security Standards Council, which was founded by American Express, Discover Financial Services, JCB International, MasterCard Worldwide, and Visa Inc. PCI DSS applies to entities that store, process, or transmit cardholder data (CHD) or sensitive authentication data (SAD). This includes, but isn't limited to, merchants, processors, acquirers, issuers, and service providers. The PCI DSS is mandated by the card brands and administered by the Payment Card Industry Security Standards Council.;;;2026-04-06 19:21:44.104332;8.2.1.1;Checks if running Amazon Elastic Compute Cloud (EC2) instances are launched using amazon key pairs;8.2.1: User identification and related accounts for users and administrators are strictly managed throughout an accounts lifecycle. ;;;ec2;;MANUAL;Manual check;manual_check;manual;False;Manual check;PCI;Payment Card Industry Data Security Standard (PCI DSS) v4.0;
